"fundoname","tpfundo","descricaofundo","preco","marketcap","dtcarga","p_vp","rentabilidade_mes","ultimo_rendimento","price","percentcharge"
"TRXL11","Tijolo: Indefinido","FII TRX LOG","-","-","2023-08-05 13:45:59.201177","N/A","N/A %","N/A","R$ 0,00","0,00%"
"TSER11","Tijolo: Lajes Corporativas","TISHMAN SPEYER RENDA CORPORATIVA","9,78","131,7 M","2023-08-05 13:45:59.202735","1,12","15,14 %","0,92","R$ 115,14","1,00%"
"TSNC11","Tijolo: Lajes Corporativas","Transinc","-","100,4 M","2023-08-05 13:45:59.204230","N/A","N/A %","0,63","R$ 0,00","0,00%"
"TSNM11","Fundo Misto: Indefinido","TS NEW MARGINAL","-","-","2023-08-05 13:45:59.205927","N/A","N/A %","N/A","N/A","0,00%"
"UBSR11","Papel: Papéis","FII UBS (BR)","-","-","2023-08-05 13:45:59.208092","N/A","N/A %","N/A","R$ 0,00","0,00%"
"VCJR11","Papel: Papéis","VECTIS JUROS REAL FDO INV. IMOB. - FII","10,90","1,4 B","2023-08-05 13:45:59.212524","0,94","0,09 %","0,70","R$ 90,75","1,09%"
"VCRA11","Fiagro: Indefinido","FIAGRO VCRA","14,95","471,4 M","2023-08-05 13:45:59.213948","0,98","1,11 %","1,19","R$ 96,95","-0,14%"
"VCRI11","Papel: Papéis","FII VINCI CR","15,75","171,3 M","2023-08-05 13:45:59.215251","0,90","0,58 %","0,10","R$ 8,65","-0,12%"
"VDSV11","Fundo Misto: Indefinido","FII VIC VIN","-","13,7 M","2023-08-05 13:45:59.218267","N/A","N/A %","N/A","R$ 0,00","0,00%"
"VERE11","Tijolo: Imóveis Industriais e Logísticos","Vereda","14,16","207,7 M","2023-08-05 13:45:59.219858","0,64","N/A %","2,80","R$ 233,49","0,00%"
"VGHF11","Fundo Misto: Misto","VALORA HEDGE FUND","13,32","687,3 M","2023-08-05 13:45:59.221703","1,01","0,42 %","0,12","R$ 9,49","-0,11%"
"VGIA11","Fiagro: Indefinido","FIAGRO VGIA","19,02","821,1 M","2023-08-05 13:45:59.224158","1,00","1,70 %","0,13","R$ 9,55","0,84%"
"VGIP11","Papel: Papéis","VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII","11,25","1,1 B","2023-08-05 13:45:59.225676","0,98","4,93 %","1,00","R$ 91,18","1,39%"
"VGIR11","Papel: Papéis","Valora RE III","15,34","995,8 M","2023-08-05 13:45:59.226997","1,01","1,88 %","0,13","R$ 9,78","0,10%"
"VIDS11","Fundo Misto: Fundo de Desenvolvimento","VIC DESENVOLVIMENTO VINTAGE 20/21","-","75,3 M","2023-08-05 13:45:59.228305","N/A","N/A %","N/A","R$ 0,00","0,00%"
"VILG11","Tijolo: Imóveis Industriais e Logísticos","VINCI LOGÍSTICA FDO INV IMOB","7,43","1,7 B","2023-08-05 13:45:59.230883","0,99","1,74 %","0,70","R$ 110,59","1,47%"
"VINO11","Tijolo: Lajes Corporativas","VINCI OFFICES FDO INV IMOB","8,39","900,2 M","2023-08-05 13:45:59.232167","0,85","-0,77 %","0,31","R$ 46,15","0,22%"
"VJFD11","Fundo Misto: Papéis","JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO FII","-","664,5 M","2023-08-05 13:45:59.236504","N/A","N/A %","0,74","R$ 0,00","0,00%"
"VLIQ11","Fundo Misto: Indefinido","FII VIFI 2","-","-","2023-08-05 13:45:59.237979","N/A","N/A %","N/A","R$ 0,00","0,00%"
"VLJS11","Tijolo: Lajes Corporativas","Vector Queluz Lajes Corporativas","-","25,4 M","2023-08-05 13:45:59.240502","1,17","N/A %","28,82","R$ 1.141,14","0,00%"
"VLOL11","Tijolo: Lajes Corporativas","Vila Olímpia Corporate","6,96","198,2 M","2023-08-05 13:45:59.242074","0,88","6,15 %","1,86","R$ 98,00","0,64%"
"VOTS11","Papel: Papéis","Votorantim Securities Master","14,85","77,3 M","2023-08-05 13:45:59.243420","0,93","0,68 %","0,70","R$ 86,45","0,73%"
"VPSI11","Tijolo: Shoppings","Polo Shopping Indaiatuba","-","172,9 M","2023-08-05 13:45:59.244725","N/A","N/A %","0,16","R$ 0,00","0,00%"
"VRTA11","Papel: Papéis","Fator Verita","12,47","1,5 B","2023-08-05 13:45:59.246029","0,97","0,34 %","0,70","R$ 90,74","0,39%"
